post_id,user_id,text,label
p0532,u632,"You’re a joke, nobody cares about you.",bullying
p0533,u633,"Great job on your project, well done!",non-bullying
p0534,u634,"Just disappear, nobody will miss you.",bullying
p0535,u635,"That was an amazing performance, bravo!",non-bullying
p0536,u636,"Just disappear, nobody will miss you.",bullying
p0537,u637,You are really talented and hardworking.,non-bullying
p0538,u638,"You’re such a loser, nobody likes you.",bullying
p0539,u639,You are really talented and hardworking.,non-bullying
p0540,u640,You're nothing but a failure.,bullying
p0541,u641,Wishing you all the best in your exams.,non-bullying
p0542,u642,Why are you always so dumb?,bullying
p0543,u643,Your positivity inspires everyone around you.,non-bullying
p0544,u644,Why are you always so dumb?,bullying
p0545,u645,Your positivity inspires everyone around you.,non-bullying
p0546,u646,"You're annoying, everyone hates you.",bullying
p0547,u647,Your positivity inspires everyone around you.,non-bullying
p0548,u648,You're nothing but a failure.,bullying
p0549,u649,"That was an amazing performance, bravo!",non-bullying
p0550,u650,"Pathetic, you should just quit.",bullying
p0551,u651,"Keep going, you’re doing amazing!",non-bullying
p0552,u652,You're nothing but a failure.,bullying
p0553,u653,Thanks for helping me yesterday!,non-bullying
p0554,u654,"You're annoying, everyone hates you.",bullying
p0555,u655,"Happy birthday, hope you have a wonderful day!",non-bullying
p0556,u656,"You're annoying, everyone hates you.",bullying
p0557,u657,Thanks for helping me yesterday!,non-bullying
p0558,u658,You're nothing but a failure.,bullying
p0559,u659,"That was an amazing performance, bravo!",non-bullying
p0560,u660,"You’re a joke, nobody cares about you.",bullying
p0561,u661,"That was an amazing performance, bravo!",non-bullying
p0562,u662,"Pathetic, you should just quit.",bullying
p0563,u663,"Great job on your project, well done!",non-bullying
p0564,u664,"You’re a joke, nobody cares about you.",bullying
p0565,u665,"Keep going, you’re doing amazing!",non-bullying
p0566,u666,Nobody wants to be around you.,bullying
p0567,u667,"Great job on your project, well done!",non-bullying
p0568,u668,"You’re such a loser, nobody likes you.",bullying
p0569,u669,Your positivity inspires everyone around you.,non-bullying
p0570,u670,You're nothing but a failure.,bullying
p0571,u671,Thanks for helping me yesterday!,non-bullying
p0572,u672,"Nobody respects you, just stop.",bullying
p0573,u673,"That was an amazing performance, bravo!",non-bullying
p0574,u674,You're ugly and worthless.,bullying
p0575,u675,"Keep going, you’re doing amazing!",non-bullying
p0576,u676,Why are you always so dumb?,bullying
p0577,u677,"Great job on your project, well done!",non-bullying
p0578,u678,"Nobody respects you, just stop.",bullying
p0579,u679,Thanks for helping me yesterday!,non-bullying
p0580,u680,"You're annoying, everyone hates you.",bullying
p0581,u681,"That was an amazing performance, bravo!",non-bullying
p0582,u682,"Nobody respects you, just stop.",bullying
p0583,u683,You are really talented and hardworking.,non-bullying
p0584,u684,Nobody wants to be around you.,bullying
p0585,u685,"Keep going, you’re doing amazing!",non-bullying
p0586,u686,"Just disappear, nobody will miss you.",bullying
p0587,u687,You are really talented and hardworking.,non-bullying
p0588,u688,"Pathetic, you should just quit.",bullying
p0589,u689,Congrats on your success! Keep shining.,non-bullying
p0590,u690,Why are you always so dumb?,bullying
p0591,u691,"That was an amazing performance, bravo!",non-bullying
p0592,u692,"You’re a joke, nobody cares about you.",bullying
p0593,u693,Congrats on your success! Keep shining.,non-bullying
p0594,u694,"You’re such a loser, nobody likes you.",bullying
p0595,u695,Wishing you all the best in your exams.,non-bullying
p0596,u696,Why are you always so dumb?,bullying
p0597,u697,"That was an amazing performance, bravo!",non-bullying
p0598,u698,"You're annoying, everyone hates you.",bullying
p0599,u699,"Nice work team, proud of you!",non-bullying
p0600,u700,Nobody wants to be around you.,bullying
p0601,u701,Wishing you all the best in your exams.,non-bullying
p0602,u702,Why are you always so dumb?,bullying
p0603,u703,Wishing you all the best in your exams.,non-bullying
p0604,u704,Why are you always so dumb?,bullying
p0605,u705,"Nice work team, proud of you!",non-bullying
p0606,u706,"You’re such a loser, nobody likes you.",bullying
p0607,u707,Congrats on your success! Keep shining.,non-bullying
p0608,u708,Nobody wants to be around you.,bullying
p0609,u709,Thanks for helping me yesterday!,non-bullying
p0610,u710,"Just disappear, nobody will miss you.",bullying
p0611,u711,"Nice work team, proud of you!",non-bullying
p0612,u712,"You're annoying, everyone hates you.",bullying
p0613,u713,Wishing you all the best in your exams.,non-bullying
p0614,u714,"You’re such a loser, nobody likes you.",bullying
p0615,u715,You are really talented and hardworking.,non-bullying
p0616,u716,"You’re a joke, nobody cares about you.",bullying
p0617,u717,"Great job on your project, well done!",non-bullying
p0618,u718,"You’re such a loser, nobody likes you.",bullying
p0619,u719,You are really talented and hardworking.,non-bullying
p0620,u720,Why are you always so dumb?,bullying
p0621,u721,Your positivity inspires everyone around you.,non-bullying
p0622,u722,"You're annoying, everyone hates you.",bullying
p0623,u723,Wishing you all the best in your exams.,non-bullying
p0624,u724,"Pathetic, you should just quit.",bullying
p0625,u725,"Great job on your project, well done!",non-bullying
p0626,u726,"Just disappear, nobody will miss you.",bullying
p0627,u727,"That was an amazing performance, bravo!",non-bullying
p0628,u728,You're ugly and worthless.,bullying
p0629,u729,"Keep going, you’re doing amazing!",non-bullying
p0630,u730,"Nobody respects you, just stop.",bullying
p0631,u731,Congrats on your success! Keep shining.,non-bullying
p0632,u732,Nobody wants to be around you.,bullying
p0633,u733,Thanks for helping me yesterday!,non-bullying
p0634,u734,"You’re such a loser, nobody likes you.",bullying
p0635,u735,"That was an amazing performance, bravo!",non-bullying
p0636,u736,Why are you always so dumb?,bullying
p0637,u737,Congrats on your success! Keep shining.,non-bullying
p0638,u738,"You’re a joke, nobody cares about you.",bullying
p0639,u739,Your positivity inspires everyone around you.,non-bullying
p0640,u740,"You're annoying, everyone hates you.",bullying
p0641,u741,Wishing you all the best in your exams.,non-bullying
p0642,u742,Why are you always so dumb?,bullying
p0643,u743,"Nice work team, proud of you!",non-bullying
p0644,u744,You're ugly and worthless.,bullying
p0645,u745,You are really talented and hardworking.,non-bullying
p0646,u746,"Pathetic, you should just quit.",bullying
p0647,u747,Wishing you all the best in your exams.,non-bullying
p0648,u748,You're nothing but a failure.,bullying
p0649,u749,"Nice work team, proud of you!",non-bullying
p0650,u750,"Just disappear, nobody will miss you.",bullying
p0651,u751,Wishing you all the best in your exams.,non-bullying
p0652,u752,Why are you always so dumb?,bullying
p0653,u753,Your positivity inspires everyone around you.,non-bullying
p0654,u754,"You're annoying, everyone hates you.",bullying
p0655,u755,"Happy birthday, hope you have a wonderful day!",non-bullying
p0656,u756,"You're annoying, everyone hates you.",bullying
p0657,u757,"Happy birthday, hope you have a wonderful day!",non-bullying
p0658,u758,"You're annoying, everyone hates you.",bullying
p0659,u759,"Happy birthday, hope you have a wonderful day!",non-bullying
p0660,u760,Nobody wants to be around you.,bullying
p0661,u761,"Happy birthday, hope you have a wonderful day!",non-bullying
p0662,u762,"Just disappear, nobody will miss you.",bullying
p0663,u763,"Keep going, you’re doing amazing!",non-bullying
p0664,u764,Nobody wants to be around you.,bullying
p0665,u765,Thanks for helping me yesterday!,non-bullying
p0666,u766,"You’re a joke, nobody cares about you.",bullying
p0667,u767,Thanks for helping me yesterday!,non-bullying
p0668,u768,"You're annoying, everyone hates you.",bullying
p0669,u769,"Nice work team, proud of you!",non-bullying
p0670,u770,You're ugly and worthless.,bullying
p0671,u771,Your positivity inspires everyone around you.,non-bullying
p0672,u772,You're nothing but a failure.,bullying
p0673,u773,"Keep going, you’re doing amazing!",non-bullying
p0674,u774,"Pathetic, you should just quit.",bullying
p0675,u775,Thanks for helping me yesterday!,non-bullying
p0676,u776,Why are you always so dumb?,bullying
p0677,u777,"Happy birthday, hope you have a wonderful day!",non-bullying
p0678,u778,Why are you always so dumb?,bullying
p0679,u779,You are really talented and hardworking.,non-bullying
p0680,u780,Why are you always so dumb?,bullying
p0681,u781,Your positivity inspires everyone around you.,non-bullying
p0682,u782,"Nobody respects you, just stop.",bullying
p0683,u783,"Nice work team, proud of you!",non-bullying
p0684,u784,Why are you always so dumb?,bullying
p0685,u785,Your positivity inspires everyone around you.,non-bullying
p0686,u786,Nobody wants to be around you.,bullying
p0687,u787,"Keep going, you’re doing amazing!",non-bullying
p0688,u788,"You’re a joke, nobody cares about you.",bullying
p0689,u789,"Happy birthday, hope you have a wonderful day!",non-bullying
p0690,u790,You're nothing but a failure.,bullying
p0691,u791,"Nice work team, proud of you!",non-bullying
p0692,u792,"Just disappear, nobody will miss you.",bullying
p0693,u793,"Nice work team, proud of you!",non-bullying
p0694,u794,"Just disappear, nobody will miss you.",bullying
p0695,u795,"Happy birthday, hope you have a wonderful day!",non-bullying
p0696,u796,"Nobody respects you, just stop.",bullying
p0697,u797,"Keep going, you’re doing amazing!",non-bullying
p0698,u798,"Nobody respects you, just stop.",bullying
p0699,u799,Wishing you all the best in your exams.,non-bullying
p0700,u800,"You’re such a loser, nobody likes you.",bullying
p0701,u801,"That was an amazing performance, bravo!",non-bullying
p0702,u802,"Nobody respects you, just stop.",bullying
p0703,u803,Your positivity inspires everyone around you.,non-bullying
p0704,u804,You're ugly and worthless.,bullying
p0705,u805,"Happy birthday, hope you have a wonderful day!",non-bullying
p0706,u806,You're ugly and worthless.,bullying
p0707,u807,Your positivity inspires everyone around you.,non-bullying
p0708,u808,"You're annoying, everyone hates you.",bullying
p0709,u809,Wishing you all the best in your exams.,non-bullying
p0710,u810,Why are you always so dumb?,bullying
p0711,u811,Wishing you all the best in your exams.,non-bullying
p0712,u812,Why are you always so dumb?,bullying
p0713,u813,Your positivity inspires everyone around you.,non-bullying
p0714,u814,You're ugly and worthless.,bullying
p0715,u815,Wishing you all the best in your exams.,non-bullying
p0716,u816,You're ugly and worthless.,bullying
p0717,u817,"Great job on your project, well done!",non-bullying
p0718,u818,"Pathetic, you should just quit.",bullying
p0719,u819,"That was an amazing performance, bravo!",non-bullying
p0720,u820,Why are you always so dumb?,bullying
p0721,u821,"Keep going, you’re doing amazing!",non-bullying
p0722,u822,You're ugly and worthless.,bullying
p0723,u823,Your positivity inspires everyone around you.,non-bullying
p0724,u824,Why are you always so dumb?,bullying
p0725,u825,"Great job on your project, well done!",non-bullying
p0726,u826,"Nobody respects you, just stop.",bullying
p0727,u827,Congrats on your success! Keep shining.,non-bullying
p0728,u828,Nobody wants to be around you.,bullying
p0729,u829,Thanks for helping me yesterday!,non-bullying
p0730,u830,"Pathetic, you should just quit.",bullying
p0731,u831,"Keep going, you’re doing amazing!",non-bullying
p0732,u832,"You’re such a loser, nobody likes you.",bullying
p0733,u833,Wishing you all the best in your exams.,non-bullying
p0734,u834,"Just disappear, nobody will miss you.",bullying
p0735,u835,Congrats on your success! Keep shining.,non-bullying
p0736,u836,You're ugly and worthless.,bullying
p0737,u837,"Nice work team, proud of you!",non-bullying
p0738,u838,Nobody wants to be around you.,bullying
p0739,u839,Congrats on your success! Keep shining.,non-bullying
p0740,u840,"You're annoying, everyone hates you.",bullying
p0741,u841,"Great job on your project, well done!",non-bullying
p0742,u842,You're ugly and worthless.,bullying
p0743,u843,"That was an amazing performance, bravo!",non-bullying
p0744,u844,"You’re a joke, nobody cares about you.",bullying
p0745,u845,"Keep going, you’re doing amazing!",non-bullying
p0746,u846,"Nobody respects you, just stop.",bullying
p0747,u847,Thanks for helping me yesterday!,non-bullying
p0748,u848,"You're annoying, everyone hates you.",bullying
p0749,u849,Thanks for helping me yesterday!,non-bullying
p0750,u850,"You’re a joke, nobody cares about you.",bullying
p0751,u851,Your positivity inspires everyone around you.,non-bullying
p0752,u852,"You’re a joke, nobody cares about you.",bullying
p0753,u853,Thanks for helping me yesterday!,non-bullying
p0754,u854,You're nothing but a failure.,bullying
p0755,u855,You are really talented and hardworking.,non-bullying
p0756,u856,You're nothing but a failure.,bullying
p0757,u857,"That was an amazing performance, bravo!",non-bullying
p0758,u858,"You’re a joke, nobody cares about you.",bullying
p0759,u859,"Keep going, you’re doing amazing!",non-bullying
p0760,u860,Why are you always so dumb?,bullying
p0761,u861,Congrats on your success! Keep shining.,non-bullying
p0762,u862,You're nothing but a failure.,bullying
p0763,u863,"That was an amazing performance, bravo!",non-bullying
p0764,u864,"You’re a joke, nobody cares about you.",bullying
p0765,u865,"Great job on your project, well done!",non-bullying
p0766,u866,You're nothing but a failure.,bullying
p0767,u867,Your positivity inspires everyone around you.,non-bullying
p0768,u868,"You’re a joke, nobody cares about you.",bullying
p0769,u869,"Happy birthday, hope you have a wonderful day!",non-bullying
p0770,u870,Why are you always so dumb?,bullying
p0771,u871,Your positivity inspires everyone around you.,non-bullying
p0772,u872,"Just disappear, nobody will miss you.",bullying
p0773,u873,"Nice work team, proud of you!",non-bullying
p0774,u874,"You’re such a loser, nobody likes you.",bullying
p0775,u875,Your positivity inspires everyone around you.,non-bullying
p0776,u876,"You're annoying, everyone hates you.",bullying
p0777,u877,Thanks for helping me yesterday!,non-bullying
p0778,u878,Why are you always so dumb?,bullying
p0779,u879,"Happy birthday, hope you have a wonderful day!",non-bullying
p0780,u880,You're ugly and worthless.,bullying
p0781,u881,Congrats on your success! Keep shining.,non-bullying
p0782,u882,Nobody wants to be around you.,bullying
p0783,u883,Your positivity inspires everyone around you.,non-bullying
p0784,u884,"Nobody respects you, just stop.",bullying
p0785,u885,Your positivity inspires everyone around you.,non-bullying
p0786,u886,"Pathetic, you should just quit.",bullying
p0787,u887,Your positivity inspires everyone around you.,non-bullying
p0788,u888,"You’re such a loser, nobody likes you.",bullying
p0789,u889,"Happy birthday, hope you have a wonderful day!",non-bullying
p0790,u890,"Nobody respects you, just stop.",bullying
p0791,u891,"Happy birthday, hope you have a wonderful day!",non-bullying
p0792,u892,"Just disappear, nobody will miss you.",bullying
p0793,u893,Thanks for helping me yesterday!,non-bullying
p0794,u894,"You’re a joke, nobody cares about you.",bullying
p0795,u895,"That was an amazing performance, bravo!",non-bullying
p0796,u896,"You're annoying, everyone hates you.",bullying
p0797,u897,Wishing you all the best in your exams.,non-bullying
p0798,u898,"You're annoying, everyone hates you.",bullying
p0799,u899,"Happy birthday, hope you have a wonderful day!",non-bullying
p0800,u900,Why are you always so dumb?,bullying
p0801,u901,Congrats on your success! Keep shining.,non-bullying
p0802,u902,"Pathetic, you should just quit.",bullying
p0803,u903,"Great job on your project, well done!",non-bullying
p0804,u904,"Just disappear, nobody will miss you.",bullying
p0805,u905,"Happy birthday, hope you have a wonderful day!",non-bullying
p0806,u906,"Nobody respects you, just stop.",bullying
p0807,u907,"Great job on your project, well done!",non-bullying
p0808,u908,You're nothing but a failure.,bullying
p0809,u909,"Great job on your project, well done!",non-bullying
p0810,u910,"You’re such a loser, nobody likes you.",bullying
p0811,u911,Congrats on your success! Keep shining.,non-bullying
p0812,u912,You're ugly and worthless.,bullying
p0813,u913,"That was an amazing performance, bravo!",non-bullying
p0814,u914,"You’re such a loser, nobody likes you.",bullying
p0815,u915,"Happy birthday, hope you have a wonderful day!",non-bullying
p0816,u916,Why are you always so dumb?,bullying
p0817,u917,You are really talented and hardworking.,non-bullying
p0818,u918,"Pathetic, you should just quit.",bullying
p0819,u919,You are really talented and hardworking.,non-bullying
p0820,u920,You're nothing but a failure.,bullying
p0821,u921,"Nice work team, proud of you!",non-bullying
p0822,u922,Nobody wants to be around you.,bullying
p0823,u923,Congrats on your success! Keep shining.,non-bullying
p0824,u924,"You’re such a loser, nobody likes you.",bullying
p0825,u925,You are really talented and hardworking.,non-bullying
p0826,u926,"You're annoying, everyone hates you.",bullying
p0827,u927,"Happy birthday, hope you have a wonderful day!",non-bullying
p0828,u928,"Pathetic, you should just quit.",bullying
p0829,u929,"Great job on your project, well done!",non-bullying
p0830,u930,"Pathetic, you should just quit.",bullying
p0831,u931,Your positivity inspires everyone around you.,non-bullying
p0832,u932,You're ugly and worthless.,bullying
p0833,u933,"Great job on your project, well done!",non-bullying
p0834,u934,"You're annoying, everyone hates you.",bullying
p0835,u935,You are really talented and hardworking.,non-bullying
p0836,u936,Nobody wants to be around you.,bullying
p0837,u937,Your positivity inspires everyone around you.,non-bullying
p0838,u938,"Nobody respects you, just stop.",bullying
p0839,u939,Congrats on your success! Keep shining.,non-bullying
p0840,u940,"Nobody respects you, just stop.",bullying
p0841,u941,"Happy birthday, hope you have a wonderful day!",non-bullying
p0842,u942,You're ugly and worthless.,bullying
p0843,u943,Thanks for helping me yesterday!,non-bullying
p0844,u944,Why are you always so dumb?,bullying
p0845,u945,"Happy birthday, hope you have a wonderful day!",non-bullying
p0846,u946,You're ugly and worthless.,bullying
p0847,u947,"Great job on your project, well done!",non-bullying
p0848,u948,Why are you always so dumb?,bullying
p0849,u949,"Great job on your project, well done!",non-bullying
p0850,u950,You're ugly and worthless.,bullying
p0851,u951,"That was an amazing performance, bravo!",non-bullying
p0852,u952,Why are you always so dumb?,bullying
p0853,u953,"Great job on your project, well done!",non-bullying
p0854,u954,"Pathetic, you should just quit.",bullying
p0855,u955,Congrats on your success! Keep shining.,non-bullying
p0856,u956,"You’re a joke, nobody cares about you.",bullying
p0857,u957,"Great job on your project, well done!",non-bullying
p0858,u958,Nobody wants to be around you.,bullying
p0859,u959,Your positivity inspires everyone around you.,non-bullying
p0860,u960,Why are you always so dumb?,bullying
p0861,u961,Wishing you all the best in your exams.,non-bullying
p0862,u962,You're ugly and worthless.,bullying
p0863,u963,"That was an amazing performance, bravo!",non-bullying
p0864,u964,"You're annoying, everyone hates you.",bullying
p0865,u965,Congrats on your success! Keep shining.,non-bullying
p0866,u966,You're nothing but a failure.,bullying
p0867,u967,"That was an amazing performance, bravo!",non-bullying
p0868,u968,"You’re such a loser, nobody likes you.",bullying
p0869,u969,"Keep going, you’re doing amazing!",non-bullying
p0870,u970,"Nobody respects you, just stop.",bullying
p0871,u971,"Nice work team, proud of you!",non-bullying
p0872,u972,"You’re a joke, nobody cares about you.",bullying
p0873,u973,"That was an amazing performance, bravo!",non-bullying
p0874,u974,Why are you always so dumb?,bullying
p0875,u975,"That was an amazing performance, bravo!",non-bullying
p0876,u976,"Just disappear, nobody will miss you.",bullying
p0877,u977,You are really talented and hardworking.,non-bullying
p0878,u978,Nobody wants to be around you.,bullying
p0879,u979,"That was an amazing performance, bravo!",non-bullying
p0880,u980,"You're annoying, everyone hates you.",bullying
p0881,u981,You are really talented and hardworking.,non-bullying
p0882,u982,Nobody wants to be around you.,bullying
p0883,u983,"That was an amazing performance, bravo!",non-bullying
p0884,u984,Why are you always so dumb?,bullying
p0885,u985,"Nice work team, proud of you!",non-bullying
p0886,u986,"Nobody respects you, just stop.",bullying
p0887,u987,"Great job on your project, well done!",non-bullying
p0888,u988,"You’re a joke, nobody cares about you.",bullying
p0889,u989,"Happy birthday, hope you have a wonderful day!",non-bullying
p0890,u990,"Pathetic, you should just quit.",bullying
p0891,u991,Your positivity inspires everyone around you.,non-bullying
p0892,u992,Nobody wants to be around you.,bullying
p0893,u993,Your positivity inspires everyone around you.,non-bullying
p0894,u994,You're ugly and worthless.,bullying
p0895,u995,Your positivity inspires everyone around you.,non-bullying
p0896,u996,Nobody wants to be around you.,bullying
p0897,u997,You are really talented and hardworking.,non-bullying
p0898,u998,Nobody wants to be around you.,bullying
p0899,u999,Wishing you all the best in your exams.,non-bullying
p0900,u1000,Why are you always so dumb?,bullying
p0901,u1001,Your positivity inspires everyone around you.,non-bullying
p0902,u1002,"You’re such a loser, nobody likes you.",bullying
p0903,u1003,Wishing you all the best in your exams.,non-bullying
p0904,u1004,"You’re such a loser, nobody likes you.",bullying
p0905,u1005,"That was an amazing performance, bravo!",non-bullying
p0906,u1006,"You’re a joke, nobody cares about you.",bullying
p0907,u1007,Your positivity inspires everyone around you.,non-bullying
p0908,u1008,Why are you always so dumb?,bullying
p0909,u1009,"Keep going, you’re doing amazing!",non-bullying
p0910,u1010,"You’re such a loser, nobody likes you.",bullying
p0911,u1011,Congrats on your success! Keep shining.,non-bullying
p0912,u1012,Nobody wants to be around you.,bullying
p0913,u1013,"Happy birthday, hope you have a wonderful day!",non-bullying
p0914,u1014,"You’re a joke, nobody cares about you.",bullying
p0915,u1015,"Great job on your project, well done!",non-bullying
p0916,u1016,"Nobody respects you, just stop.",bullying
p0917,u1017,"Keep going, you’re doing amazing!",non-bullying
p0918,u1018,Why are you always so dumb?,bullying
p0919,u1019,"That was an amazing performance, bravo!",non-bullying
p0920,u1020,"Just disappear, nobody will miss you.",bullying
p0921,u1021,"Keep going, you’re doing amazing!",non-bullying
p0922,u1022,You're nothing but a failure.,bullying
p0923,u1023,"That was an amazing performance, bravo!",non-bullying
p0924,u1024,"You’re such a loser, nobody likes you.",bullying
p0925,u1025,You are really talented and hardworking.,non-bullying
p0926,u1026,"You’re a joke, nobody cares about you.",bullying
p0927,u1027,Congrats on your success! Keep shining.,non-bullying
p0928,u1028,Why are you always so dumb?,bullying
p0929,u1029,Thanks for helping me yesterday!,non-bullying
p0930,u1030,"Just disappear, nobody will miss you.",bullying
p0931,u1031,Wishing you all the best in your exams.,non-bullying
p0932,u1032,"You’re a joke, nobody cares about you.",bullying
p0933,u1033,"Keep going, you’re doing amazing!",non-bullying
p0934,u1034,Why are you always so dumb?,bullying
p0935,u1035,Wishing you all the best in your exams.,non-bullying
p0936,u1036,"You’re such a loser, nobody likes you.",bullying
p0937,u1037,You are really talented and hardworking.,non-bullying
p0938,u1038,You're nothing but a failure.,bullying
p0939,u1039,"Keep going, you’re doing amazing!",non-bullying
p0940,u1040,"Just disappear, nobody will miss you.",bullying
p0941,u1041,You are really talented and hardworking.,non-bullying
p0942,u1042,You're nothing but a failure.,bullying
p0943,u1043,"Nice work team, proud of you!",non-bullying
p0944,u1044,Why are you always so dumb?,bullying
p0945,u1045,Congrats on your success! Keep shining.,non-bullying
p0946,u1046,"Just disappear, nobody will miss you.",bullying
p0947,u1047,"Happy birthday, hope you have a wonderful day!",non-bullying
p0948,u1048,You're nothing but a failure.,bullying
p0949,u1049,Wishing you all the best in your exams.,non-bullying
p0950,u1050,Nobody wants to be around you.,bullying
p0951,u1051,Thanks for helping me yesterday!,non-bullying
p0952,u1052,You're nothing but a failure.,bullying
p0953,u1053,Your positivity inspires everyone around you.,non-bullying
p0954,u1054,"You’re such a loser, nobody likes you.",bullying
p0955,u1055,Your positivity inspires everyone around you.,non-bullying
p0956,u1056,"Pathetic, you should just quit.",bullying
p0957,u1057,"Happy birthday, hope you have a wonderful day!",non-bullying
p0958,u1058,You're nothing but a failure.,bullying
p0959,u1059,Thanks for helping me yesterday!,non-bullying
p0960,u1060,Nobody wants to be around you.,bullying
p0961,u1061,You are really talented and hardworking.,non-bullying
p0962,u1062,"Just disappear, nobody will miss you.",bullying
p0963,u1063,Thanks for helping me yesterday!,non-bullying
p0964,u1064,"You’re such a loser, nobody likes you.",bullying
p0965,u1065,"Great job on your project, well done!",non-bullying
p0966,u1066,"Just disappear, nobody will miss you.",bullying
p0967,u1067,Thanks for helping me yesterday!,non-bullying
p0968,u1068,"Just disappear, nobody will miss you.",bullying
p0969,u1069,Your positivity inspires everyone around you.,non-bullying
p0970,u1070,You're nothing but a failure.,bullying
p0971,u1071,Congrats on your success! Keep shining.,non-bullying
p0972,u1072,You're ugly and worthless.,bullying
p0973,u1073,You are really talented and hardworking.,non-bullying
p0974,u1074,You're ugly and worthless.,bullying
p0975,u1075,"Nice work team, proud of you!",non-bullying
p0976,u1076,"You're annoying, everyone hates you.",bullying
p0977,u1077,"Happy birthday, hope you have a wonderful day!",non-bullying
p0978,u1078,"Just disappear, nobody will miss you.",bullying
p0979,u1079,Congrats on your success! Keep shining.,non-bullying
p0980,u1080,You're ugly and worthless.,bullying
p0981,u1081,"That was an amazing performance, bravo!",non-bullying
p0982,u1082,"You're annoying, everyone hates you.",bullying
p0983,u1083,Thanks for helping me yesterday!,non-bullying
p0984,u1084,"Pathetic, you should just quit.",bullying
p0985,u1085,Wishing you all the best in your exams.,non-bullying
p0986,u1086,"You're annoying, everyone hates you.",bullying
p0987,u1087,Congrats on your success! Keep shining.,non-bullying
p0988,u1088,You're ugly and worthless.,bullying
p0989,u1089,"Keep going, you’re doing amazing!",non-bullying
p0990,u1090,"You’re a joke, nobody cares about you.",bullying
p0991,u1091,"That was an amazing performance, bravo!",non-bullying
p0992,u1092,Nobody wants to be around you.,bullying
p0993,u1093,"Great job on your project, well done!",non-bullying
p0994,u1094,You're ugly and worthless.,bullying
p0995,u1095,Wishing you all the best in your exams.,non-bullying
p0996,u1096,"You’re such a loser, nobody likes you.",bullying
p0997,u1097,"Nice work team, proud of you!",non-bullying
p0998,u1098,Why are you always so dumb?,bullying
p0999,u1099,Wishing you all the best in your exams.,non-bullying
p1000,u1100,Why are you always so dumb?,bullying
